TAG number,Equipment Description
16-01-213M,post treatment water pump main drive
16-01-214M,post treatment water pump main drive
16-01-216M,grease lubrication roller press compaction circuit 1&2 redundant grease pump A
16-01-217 M,PRESSURE GAUGES
16-01-218 M,PRESSURE GAUGES
16-01-219 M,End Suction Centrifugal Pump
16-01-220 M,End Suction Centrifugal Pump
16-01-221 M,End Suction Centrifugal Pump 
16-01-223M,post treatment oil / amin pump main drive
16-01-224M,post treatment oil / amin pump main drive
16-01-226M,grease lubrication roller press compaction circuit 1&2 redundant grease pump B
16-01-227 M,Rotary Lobe Pump
16-01-228 M,Rotary Lobe Pump
16-03-310M,post treatment Cooling Air fan main drive
16-03-320M,Fan - Pre-Heater External Feed Combustion Air main drive
16-03-700M,Fan - External Feed Pre-Heater Recirculation Air main drive
16-03-710M,post treatment Cooling Air fan main drive
16-03-720M,post treatment mixing air fan main drive
16-03-730M,post treatment de-dusting exhaust air fan main drive
16-03-740M,de-dusting exhaust air fan
16-03-750M2,Fan - External Feed Pre-Heater Exhaust Air throttle valve actuator / motor valve
16-03-760M,Fan - External Feed Equipment De-Dusting main drive
16-05-125M,post treatment oil / amin tank agitator main drive
16-05-135M,post treatment oil / amin dosing tank agitator motor control
16-05-145 M,Mixing Agitator
16-08-160M1,NATUS SPARE FEEDER
16-08-160M2,NATUS SPARE FEEDER
16-08-160M3,NATUS SPARE FEEDER
16-20-070M,Compaction feed drag conveyor main drive
16-20-080M,crushed compaction product circuit 1 drag conveyor main drive
16-20-090M,crushed compaction product circuit 2 drag conveyor main drive
16-20-100M,recycle drag conveyor main drive
16-25-400M,post treatment dryer/cooler main drive
16-25-500M1,Pre-Heater - External Feed weir dryer cold area flap
16-25-500M2,Pre-Heater - External Feed bypass flap dryer
16-25-815M1,Hot Gas Generator - Pre-Heater External Feed Diesel pump motor 1
16-25-815M2,Hot Gas Generator - Pre-Heater External Feed Diesel pump motor 2
16-26-010M,Fresh feed oversize crusher main drive
